window_start_month,window_end_month,variant,strategy,k_selected,subspace_path
2023-11,2024-01,baseline,penultimate,9,outputs\phase3\artifacts\subspaces\window_2023-11_baseline_penultimate_raw.npz
2023-11,2024-01,baseline,last4_concat,9,outputs\phase3\artifacts\subspaces\window_2023-11_baseline_last4_concat_raw.npz
2023-11,2024-01,dapt,penultimate,9,outputs\phase3\artifacts\subspaces\window_2023-11_dapt_penultimate_raw.npz
2023-11,2024-01,dapt,last4_concat,9,outputs\phase3\artifacts\subspaces\window_2023-11_dapt_last4_concat_raw.npz
2023-12,2024-02,baseline,penultimate,2,outputs\phase3\artifacts\subspaces\window_2023-12_baseline_penultimate_raw.npz
2023-12,2024-02,baseline,last4_concat,2,outputs\phase3\artifacts\subspaces\window_2023-12_baseline_last4_concat_raw.npz
2023-12,2024-02,dapt,penultimate,2,outputs\phase3\artifacts\subspaces\window_2023-12_dapt_penultimate_raw.npz
2023-12,2024-02,dapt,last4_concat,2,outputs\phase3\artifacts\subspaces\window_2023-12_dapt_last4_concat_raw.npz
2024-01,2024-03,baseline,penultimate,7,outputs\phase3\artifacts\subspaces\window_2024-01_baseline_penultimate_raw.npz
2024-01,2024-03,baseline,last4_concat,8,outputs\phase3\artifacts\subspaces\window_2024-01_baseline_last4_concat_raw.npz
2024-01,2024-03,dapt,penultimate,7,outputs\phase3\artifacts\subspaces\window_2024-01_dapt_penultimate_raw.npz
2024-01,2024-03,dapt,last4_concat,8,outputs\phase3\artifacts\subspaces\window_2024-01_dapt_last4_concat_raw.npz
2024-02,2024-04,baseline,penultimate,5,outputs\phase3\artifacts\subspaces\window_2024-02_baseline_penultimate_raw.npz
2024-02,2024-04,baseline,last4_concat,5,outputs\phase3\artifacts\subspaces\window_2024-02_baseline_last4_concat_raw.npz
2024-02,2024-04,dapt,penultimate,5,outputs\phase3\artifacts\subspaces\window_2024-02_dapt_penultimate_raw.npz
2024-02,2024-04,dapt,last4_concat,5,outputs\phase3\artifacts\subspaces\window_2024-02_dapt_last4_concat_raw.npz
2024-03,2024-05,baseline,penultimate,5,outputs\phase3\artifacts\subspaces\window_2024-03_baseline_penultimate_raw.npz
2024-03,2024-05,baseline,last4_concat,5,outputs\phase3\artifacts\subspaces\window_2024-03_baseline_last4_concat_raw.npz
2024-03,2024-05,dapt,penultimate,5,outputs\phase3\artifacts\subspaces\window_2024-03_dapt_penultimate_raw.npz
2024-03,2024-05,dapt,last4_concat,5,outputs\phase3\artifacts\subspaces\window_2024-03_dapt_last4_concat_raw.npz
2024-04,2024-06,baseline,penultimate,4,outputs\phase3\artifacts\subspaces\window_2024-04_baseline_penultimate_raw.npz
2024-04,2024-06,baseline,last4_concat,4,outputs\phase3\artifacts\subspaces\window_2024-04_baseline_last4_concat_raw.npz
2024-04,2024-06,dapt,penultimate,4,outputs\phase3\artifacts\subspaces\window_2024-04_dapt_penultimate_raw.npz
2024-04,2024-06,dapt,last4_concat,4,outputs\phase3\artifacts\subspaces\window_2024-04_dapt_last4_concat_raw.npz
